Projektname;Direktion Abkürzung;Direktion Name;Dienststelle Abkürzung;Dienststelle Name;Objekt;Verfahren;Arbeitsgattung;Beschreibung zur Arbeitsgattung;T_d;Zuschlagsempfänger;TAG_Auftragsvolumen_exkl._MWST_dSSG;Bemerkung
Stadtbibliothek St.Katharinen, Katharinengasse 11, St.Gallen, Fassadensanierung;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Stadtbibliothek St.Katharinen;Einladung;BKP 227;Äussere Malerarbeiten;2022-04-28;"Hofmann Malerei AG
Mövenstrasse 12
9015 St.Gallen-Winkeln";126882.85;
Haggenhaldenstrasse, Hechtackerstrasse bis Haggenhaldenweg;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Haggenhaldenstrasse, Hechtackerstrasse bis Haggenhaldenweg;Einladung;Strasseninstandstellungsarbeiten;;2022-04-29;"Koch AG
St.Gallen";296859.95;
Werkhof Waldau, Dachsanierung Fahrzeughallen;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Werkhof Waldau;Einladung;BKP 224;Deckung geneigter Dächer;2022-05-03;"Wild + Treichler AG
St.Gallen";211845.75;
Primarschule Hebel, Sanierung und betriebliche Optimierung;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Primarschule Hebel;Offen;BKP 463;Oberbau und Gartenbau Schulhaus;2022-05-03;"Walo Bertschinger AG
St.Gallen";331445.05;
Primarschule Riethüsli, Neubau der Schulanlage;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Primarschule Riethüsli;Freihändig;BKP 131;Provisorische Treppenanlage;2022-05-13;"Baugerüste Bläsi AG
Rorschacherstrasse 58
9424 Rheineck";134248.8;
Tiefbauarbeiten inkl. Bereischaftsdienst 2021-2023;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Sanierungen elektrisches Verteilnetz;Freihändig;Tiefbauarbeiten;;2022-05-31;;1320718.5;Zuschlag im freihändigen Verfahren nach Widerruf des Zuschlags.
Feuerwehr und Zivilschutz St.Gallen, Berufsfeuerwehr Notkerstrasse 44;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Sanierungs- und Erweiterungsmassnahmen Betriebsgebäude;Offen;BKP 112;Rückbau;2022-06-21;"Stutz AG
St.Gallen";289296.15;
öffentliche Beleuchtung;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Lieferwagen Hubarbeitsbühne;Freihändig;Ersatzbeschaffung;;2022-07-05;Ruthmann Schweiz AG;275456.0;
Sportanlage Neudorf, Sanierung und Erweiterung Leichtathletikanlage;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Sportanlage Neudorf;Offen;;Tiefbauarbeiten und Sportanlagenbau;2022-07-05;"Walo Bertschinger AG
St.Gallen";3992005.7;
Rathaus, Flachdachsanierung Perron 1;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Rathaus, Poststrasse 28, Flachdachsanierung Perron 1;Einladung;224.1;Dichtungsbeläge Flachdächer;2022-09-27;"Merz + Egger AG
St.Gallen";181594.5;
