T_Y;Oberkategorie;Kategorie;Standort;Sektor;Untersektor;TAG_CO2-eq./a_Schweiz;TAG/a_Schweiz;TAG_CO2-eq./a_Stadt_St.Gallen;TAG/a_Stadt_St.Gallen
2018;Übrige Materialien;Chemische Grundstoffe;Schweiz;Bau;Recycling;0.0;0;0.0;0.0
2018;Übrige Materialien;Chemische Grundstoffe;Schweiz;Bau;Verbrennung;0.0;0;0.0;0.0
2018;Übrige Materialien;Glas, Keramik;Schweiz;Bau;Deponie;6520.0;1191975;57.840248112821115;10574.253028263794
2018;Übrige Materialien;Kunststoff;Schweiz;Bau;Recycling;0.0;39474;0.0;350.18189478611976
2018;Übrige Materialien;Mauerwerk;Schweiz;Bau;Abwasser;0.0;0;0.0;0.0
2018;Übrige Materialien;Mauerwerk;Schweiz;Bau;Deponie;2082.0;380300;18.4698460998303;3373.7187664579556
2018;Übrige Materialien;Mauerwerk;Schweiz;Bau;Recycling;5136.0;1521200;45.56250219439406;13494.875065831822
2018;Übrige Materialien;Stahl;Schweiz;Bau;Deponie;37.8124834;10088;0.33544224257943706;89.49270290830358
2018;Übrige Materialien;Textilien, Leder;Schweiz;Bau;Verbrennung;0.0;0;0.0;0.0
2018;Wasser;Wasser;Schweiz;Bau;Recycling;0.0;0;0.0;0.0
2018;Wasser;Wasser;Schweiz;Bau;Verbrennung;0.0;0;0.0;0.0
2018;Energie;Brennstoff;Schweiz;Mobilität;Deponie;0.0;0;0.0;0.0
2018;Energie;Brennstoff;Schweiz;Mobilität;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Energie;Brennstoff;Schweiz;Mobilität;Recycling;0.0;0;0.0;0.0
2018;Energie;Elektrizität;Schweiz;Mobilität;Verbrennung;0.0;0;0.0;0.0
2018;Nahrung;Nahrung für Menschen;Schweiz;Mobilität;Recycling;0.0;0;0.0;0.0
2018;Nahrung;Tierfutter, Tiere;Schweiz;Mobilität;Abwasser;0.0;0;0.0;0.0
