T_h;Bad_ID;Name;TAG_Besucherstand_Bäder_dSSG;TAG_Max._Kapazität_der_Bäder_während_Corona;Bemerkung Max. Kapazitäten
2020-06-27T09:15:00+02:00;c5ed762037214d;Freibad Rotmonten;15;1780;Eislaufen im Winter für max. 180 Personen
2020-06-27T09:45:00+02:00;c5ed762037214d;Freibad Rotmonten;14;1780;Eislaufen im Winter für max. 180 Personen
2020-06-27T10:15:00+02:00;c5ed762037214d;Freibad Rotmonten;14;1780;Eislaufen im Winter für max. 180 Personen
2020-06-27T10:30:00+02:00;c5ed762037214d;Freibad Rotmonten;13;1780;Eislaufen im Winter für max. 180 Personen
2020-06-27T10:45:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-27T12:00:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-27T12:15:00+02:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-06-29T08:00:00+02:00;c5ed762037214d;Freibad Rotmonten;15;1780;Eislaufen im Winter für max. 180 Personen
2020-06-29T09:00:00+02:00;c5ed762037214d;Freibad Rotmonten;18;1780;Eislaufen im Winter für max. 180 Personen
2020-06-29T15:15:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-29T16:00:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-30T19:00:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-07-01T18:45:00+02:00;c5ed762037214d;Freibad Rotmonten;12;1780;Eislaufen im Winter für max. 180 Personen
2020-07-03T09:00:00+02:00;c5ed762037214d;Freibad Rotmonten;12;1780;Eislaufen im Winter für max. 180 Personen
2020-07-06T11:30:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-07-07T12:15:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-07-09T10:00:00+02:00;c5ed762037214d;Freibad Rotmonten;1;1780;Eislaufen im Winter für max. 180 Personen
